"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.028083328E-3,1.418364948E-1,-1.183166546E-1,-1.769825293E0,1.779437549E0
1.610808333E-2,-1.177611691E-1,-1.721046066E-1,-1.226175740E0,1.243782390E0
2.618808334E-2,-2.188943186E-1,-3.139399320E-1,-3.297160122E-1,5.051590367E-1
3.626808332E-2,-2.140879074E-1,-4.222210103E-1,2.157637194E-1,5.202482064E-1
4.634908334E-2,-1.951739189E-1,-4.052833807E-1,4.421038824E-1,6.307165133E-1
5.642908334E-2,-2.126082695E-1,-3.111642587E-1,5.113229290E-1,6.351980871E-1
6.650908332E-2,-3.306772944E-1,-2.192138690E-1,3.868716681E-1,5.541406689E-1
7.658908333E-2,-4.653690764E-1,-1.488496453E-1,8.612246990E-2,4.961266713E-1
8.666908334E-2,-4.257346022E-1,-7.894676685E-2,-1.633598033E-1,4.627839332E-1
9.674908334E-2,-3.079070672E-1,8.754100442E-2,-2.892670208E-1,4.314459397E-1
1.068290833E-1,-1.053007525E-1,2.205622369E-1,-2.921818578E-1,3.809280600E-1
1.169090833E-1,1.011705717E-1,2.634246665E-1,-1.730109251E-1,3.309997277E-1
1.269890833E-1,1.359667674E-1,2.194056576E-1,-2.537983954E-3,2.581322254E-1
1.370690833E-1,2.840197295E-2,9.766779721E-2,1.187534416E-1,1.563587240E-1
1.471500833E-1,-1.890436980E-1,-8.898292780E-3,1.208783197E-1,2.245623912E-1
1.572300833E-1,-3.801324597E-1,-1.242030466E-1,1.289550787E-1,4.201862635E-1
1.673100833E-1,-4.089998710E-1,-2.329992646E-1,2.256931686E-1,5.220219901E-1
1.773900833E-1,-3.921812323E-1,-3.255764759E-1,2.554514033E-1,5.701417192E-1
1.874700833E-1,-3.345797262E-1,-3.413920248E-1,2.475108844E-1,5.382877907E-1
1.975500833E-1,-2.672510844E-1,-2.989944488E-1,2.370557705E-1,4.658500412E-1
2.076300833E-1,-1.885031229E-1,-2.354796535E-1,1.168741465E-1,3.234867241E-1
2.177100833E-1,-1.147252947E-1,-2.234449142E-1,-2.972607493E-2,2.529291649E-1
2.277900833E-1,3.371796906E-3,-2.237887305E-1,3.341099024E-2,2.262941872E-1
2.378700833E-1,8.495828927E-2,-2.604496032E-1,2.397826195E-2,2.750033886E-1
2.479500833E-1,4.546034753E-2,-3.110642713E-1,-2.273865223E-2,3.151898958E-1
2.580300833E-1,8.213057578E-2,-2.572804123E-1,-3.287450820E-2,2.720650204E-1
2.681110833E-1,1.536326677E-2,-1.864367169E-1,-7.367199361E-2,2.010528339E-1
2.781910833E-1,-9.782362550E-2,-1.361313665E-1,-1.085845488E-1,1.997293541E-1
2.882710833E-1,-1.534607595E-1,-1.528047019E-1,-1.580677807E-1,2.681136046E-1
2.983510833E-1,-2.003437346E-1,-1.492039865E-1,-1.761646208E-1,3.056687999E-1
3.084310833E-1,-2.999399436E-1,-9.807359397E-2,-2.052267444E-1,3.764311573E-1
3.185110833E-1,-4.073331222E-1,-1.998303491E-1,-2.207654276E-1,5.045689397E-1
3.285910833E-1,-5.473549336E-1,-3.747515595E-1,-2.546018028E-1,7.105337661E-1
3.386710833E-1,-7.801206020E-1,-5.471567130E-1,-3.971607211E-1,1.032330015E0
3.487510833E-1,-1.085602244E0,-8.672467464E-1,-2.568591204E-1,1.413020085E0
3.588310833E-1,-1.167157162E0,-1.087806644E0,3.046446133E-1,1.624311385E0
3.689110833E-1,-8.425106853E-1,-9.542726111E-1,6.968126893E-1,1.451209287E0
3.789920833E-1,-1.050901943E0,-7.330858916E-1,4.774204803E-1,1.367384413E0
3.890720833E-1,-2.400496911E0,-1.169268883E0,6.161737382E-1,2.740300205E0
3.991520833E-1,-2.718396577E0,-1.810725982E0,1.233644681E0,3.491459255E0
4.092334167E-1,-3.063134963E0,-2.777394106E0,1.771211084E0,4.498211036E0
4.193134167E-1,-4.140728568E0,-3.259197659E0,2.078329069E0,5.664578905E0
4.293934167E-1,-5.299511640E0,-3.439088418E0,2.700127244E0,6.870432294E0
4.394734167E-1,-6.699994633E0,-3.178762776E0,2.585755706E0,7.853699347E0
4.495534167E-1,-7.689148809E0,-1.981551803E0,1.466865263E0,8.074729138E0
4.596334167E-1,-8.667792031E0,-1.015789998E-1,-7.719727993E-1,8.702693777E0
4.697134167E-1,-6.926893498E0,1.638176402E0,-4.023386352E0,8.176375309E0
4.797934167E-1,3.240975396E0,-7.523483741E-1,-6.943223602E0,7.699240454E0
