"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.526583332E-3,1.237716682E-1,-5.957464904E-1,2.329138222E-1,6.515229506E-1
1.460558333E-2,-8.510885507E-2,-4.334231061E-1,-3.138878918E-1,5.418714928E-1
2.468458333E-2,-4.167775449E-1,-5.936783302E-1,-4.293038157E-1,8.428874467E-1
3.476458334E-2,-4.109741834E-1,-8.143645281E-1,-3.925621784E-1,9.930732238E-1
4.484358334E-2,-4.693270567E-1,-4.191412818E-1,-5.974475916E-1,8.676928748E-1
5.492258334E-2,-3.987637353E-1,-3.023279464E-1,-1.843586165E-1,5.332942933E-1
6.500258335E-2,-2.466583604E-1,-1.488338578E-1,-9.346723057E-2,3.028662859E-1
7.508158335E-2,-1.657055600E-1,-4.982003152E-2,1.563586396E-1,2.332131907E-1
8.516058334E-2,-2.383253472E-1,-6.955263019E-2,7.228620350E-2,2.585765548E-1
9.524058335E-2,-4.129150204E-1,-2.894874609E-1,1.481953418E-1,5.256078989E-1
1.053195834E-1,-5.564973477E-1,-4.632386434E-1,2.300486134E-1,7.597379175E-1
1.153985834E-1,-7.929507087E-1,-6.107878679E-1,2.005617627E-1,1.020812258E0
1.254775834E-1,-9.365282120E-1,-7.015255451E-1,4.445649024E-1,1.251743238E0
1.355575833E-1,-9.939829530E-1,-8.093979031E-1,7.744812548E-1,1.497647586E0
1.456365833E-1,-9.305514805E-1,-8.341047281E-1,9.756495199E-1,1.585417529E0
1.557155833E-1,-8.283718255E-1,-5.840146369E-1,1.234157190E0,1.597002488E0
1.657955833E-1,-8.405106452E-1,-2.697367358E-1,1.389082677E0,1.645833143E0
1.758745833E-1,-8.811658971E-1,4.989312172E-2,1.386191229E0,1.643310313E0
1.859535833E-1,-9.240291307E-1,2.554040408E-1,1.280810369E0,1.599855075E0
1.960335833E-1,-8.459226818E-1,3.707836390E-1,1.100177526E0,1.436473556E0
2.061125833E-1,-6.595255067E-1,6.243434680E-1,1.011288226E0,1.359221298E0
2.161915833E-1,-5.383071714E-1,5.913873911E-1,1.161048795E0,1.409804228E0
2.262705833E-1,-5.568218681E-1,-3.149883378E-1,1.033191823E0,1.215217507E0
2.363505833E-1,-8.027822171E-1,-6.717602938E-1,1.391341456E0,1.741135327E0
2.464295833E-1,-7.260774189E-1,-8.391871279E-1,1.306380828E0,1.714075355E0
2.565085833E-1,-1.061263063E0,-1.142085178E0,1.208252782E0,1.972438244E0
2.665885833E-1,-9.392576922E-1,-1.023244028E0,9.110640264E-1,1.661105359E0
2.766675833E-1,-9.956033626E-1,-1.452975202E0,9.695000032E-1,2.010545511E0
2.867465833E-1,-1.348456807E0,-2.446915909E0,1.194555825E0,3.038535313E0
