"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.045220834E-2,3.460434848E-1,2.507768467E-1,-5.861827844E-1,7.254277200E-1
2.053220835E-2,7.528307694E-1,-1.770607066E-1,-6.625485903E-1,1.018368939E0
3.061220836E-2,6.376102155E-1,-3.271207255E-1,-7.440570223E-1,1.033041920E0
4.069220833E-2,2.954656541E-1,-2.873295459E-1,-4.394860840E-1,6.024999907E-1
5.077220834E-2,-6.864631176E-2,-1.146443108E-1,2.854376793E-1,3.151671031E-1
6.085120834E-2,-1.822144425E-1,1.438575849E-1,9.170176613E-1,9.459484653E-1
7.093120835E-2,-1.970745564E-1,2.543117809E-1,9.852049667E-1,1.036408071E0
8.101120836E-2,-2.277326775E-1,1.719552103E-1,5.809781778E-1,6.472761465E-1
9.109120833E-2,-2.685555983E-1,9.577593058E-2,2.156043828E-1,3.574638277E-1
1.011712083E-1,-1.810268730E-1,8.434462398E-2,1.362132275E-1,2.417411585E-1
1.112512083E-1,-6.940411091E-2,1.222258106E-1,1.556154585E-1,2.096956135E-1
1.213312084E-1,-9.205330074E-2,1.287723532E-1,1.408196640E-1,2.118638877E-1
1.314112083E-1,-2.136666155E-1,1.419627947E-1,2.063581806E-1,3.292272108E-1
1.414912083E-1,-3.312915444E-1,1.382623842E-1,1.701761949E-1,3.972788839E-1
1.515712083E-1,-2.910673785E-1,2.710798413E-2,2.570950556E-1,3.892979954E-1
1.616512084E-1,-1.646821511E-1,-1.984603465E-2,6.460097408E-1,6.669652624E-1
1.717312083E-1,-9.459450066E-2,1.527014986E-1,5.194502664E-1,5.496311913E-1
1.818112083E-1,-8.483081996E-2,8.501763850E-2,4.805616045E-1,4.953420259E-1
1.918912083E-1,-3.863723159E-2,7.034902096E-2,8.355068904E-1,8.393530749E-1
2.019702083E-1,-4.123339534E-2,4.400526792E-2,1.645880109E0,1.646984514E0
2.120502084E-1,-1.007527882E-1,3.200473487E-3,2.218428941E0,2.220717977E0
2.221302083E-1,-6.589110374E-2,-1.968204948E-1,2.406019313E0,2.414955254E0
2.322102083E-1,3.065209848E-1,1.639626512E-1,2.857126154E0,2.878195394E0
2.422902083E-1,4.926477993E-1,2.553215951E-1,3.742220356E0,3.783134173E0
2.523702084E-1,-4.078023612E-2,-5.554729155E-1,2.529410182E0,2.590005609E0
2.624537084E-1,-5.634388697E-1,-1.431964402E0,1.803135712E0,2.370502859E0
2.725337083E-1,-7.788304138E-1,-1.689431048E0,9.769492829E-1,2.101233919E0
2.826137083E-1,-7.975479358E-1,-1.594842395E0,5.069582748E-1,1.853810041E0
2.926937084E-1,-6.536105365E-1,-1.511767201E0,2.877452829E-1,1.671958179E0
3.027737084E-1,-4.184793770E-1,-1.426274184E0,-1.740435433E-1,1.496554106E0
3.128537083E-1,-1.909431660E-1,-1.320044602E0,-5.682207227E-2,1.334992805E0
3.229337083E-1,-1.965360278E-1,-1.158325235E0,3.928603864E-1,1.238823249E0
3.330127083E-1,-4.424745959E-1,-9.478511989E-1,4.074822262E-1,1.122607424E0
3.430927084E-1,-9.629124570E-1,-1.119224319E0,2.110827309E-1,1.491448757E0
3.531727084E-1,-1.658881978E0,-2.408157640E0,3.686555448E-1,2.947375026E0
3.632527083E-1,-1.549437888E0,-3.700794003E0,3.468670651E-2,4.012211010E0
3.733327083E-1,-1.119893240E0,-3.919861107E0,-5.852501535E-1,4.118493621E0
3.834127084E-1,-1.260248635E0,-4.015703403E0,-4.810708970E-1,4.236216432E0
3.934927084E-1,-1.427085485E0,-4.642028493E0,-6.284559609E-1,4.896933572E0
4.035727083E-1,-1.526075923E0,-5.803755637E0,-1.223471988E0,6.124489442E0
4.136527083E-1,-2.144974464E0,-6.606597642E0,-8.432029957E-1,6.997073613E0
4.237327084E-1,-2.338158867E0,-6.924414863E0,-4.918503121E-1,7.325054595E0
4.338127084E-1,-2.173583136E0,-7.387818398E0,1.287580276E-1,7.702006424E0
4.438927083E-1,-2.102866325E0,-6.680204732E0,9.941645090E-1,7.073580784E0
4.539727083E-1,-1.479423913E0,-4.710940853E0,1.847932985E0,5.272240050E0
4.640517083E-1,-1.594477236E-2,-1.924443802E0,2.142163415E0,2.879687878E0
4.741317084E-1,2.749154393E0,2.610606372E-1,1.750447913E0,3.269567315E0
4.842117084E-1,5.296816658E0,3.350934041E0,9.430930272E-1,6.338331808E0
4.942917083E-1,6.325720206E0,8.385988396E0,-3.158015393E0,1.096870998E1
5.043717083E-1,4.987405395E0,9.037935984E0,-1.023483881E1,1.453652038E1
5.144517084E-1,-1.155795144E0,5.550611545E0,-1.220319637E1,1.345597089E1
5.245317084E-1,-5.452251438E0,4.548769496E0,-6.580482223E0,9.680965652E0
5.346117083E-1,-6.702294928E0,6.405953361E0,-8.753764227E-1,9.312533471E0
5.446917083E-1,-6.791335158E0,6.862774685E0,9.849912509E-1,9.705159317E0
5.547717084E-1,-5.416030861E0,6.158636604E0,-8.455711180E-1,8.244827810E0
5.648517084E-1,-1.717789167E0,3.914992130E0,-2.508144735E0,4.956687706E0
5.749317083E-1,3.801280743E-1,3.389635007E0,-1.980995440E0,3.944422108E0
5.850117083E-1,4.462606680E-1,2.268130274E0,-4.395349082E-1,2.353030909E0
5.950907083E-1,7.639931041E-1,1.928774250E-1,1.145104388E0,1.390018425E0
6.051707084E-1,7.819990200E-1,-2.220427519E-1,2.020594246E0,2.177986813E0
6.152507084E-1,-2.931519109E-1,3.917885917E-1,1.855096116E0,1.918545789E0
6.253307083E-1,-2.944944316E-1,7.477928084E-1,1.095301021E0,1.358530596E0
6.354107083E-1,1.444809566E0,-6.715685052E-1,7.165996671E-2,1.594871182E0
