"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.153758334E-2,-1.072262406E-2,1.094727409E-1,1.123938636E-1,1.572629526E-1
2.161858333E-2,-1.513434827E-2,1.392771685E-1,1.117803445E-1,1.792261800E-1
3.169958334E-2,2.931209207E-3,1.007329077E-1,1.146288157E-1,1.526285558E-1
4.178058333E-2,1.922915339E-2,7.252827823E-2,1.223307681E-1,1.435093318E-1
5.186158334E-2,1.406021476E-2,4.955047488E-2,1.430233334E-1,1.520151739E-1
6.194258333E-2,-8.973137140E-3,3.561889887E-2,1.378609729E-1,1.426704980E-1
7.202358334E-2,-9.097682834E-3,1.164823830E-2,9.740277216E-2,9.851776141E-2
8.210458333E-2,8.622888923E-3,-9.166679978E-3,1.068888563E-1,1.076271798E-1
9.218558331E-2,-9.885887504E-3,-2.031498134E-2,1.426923810E-1,1.444698752E-1
1.022655833E-1,-2.035942018E-2,-1.180494368E-2,1.578604969E-1,1.596051352E-1
1.123465833E-1,-9.537393451E-3,3.200765848E-3,1.547505091E-1,1.550771642E-1
1.224275833E-1,-3.601300120E-3,1.379182756E-2,1.640904129E-1,1.647083709E-1
1.325085833E-1,-1.043143272E-2,3.016578555E-3,1.544692580E-1,1.548504640E-1
1.425895833E-1,-7.484436035E-5,-7.490283251E-3,1.394286114E-1,1.396296803E-1
1.526705833E-1,3.566801548E-3,1.358308196E-3,1.748481202E-1,1.748897716E-1
1.627515833E-1,1.548167288E-2,1.833686829E-3,1.834090286E-1,1.840704115E-1
1.728325833E-1,3.014765918E-2,1.007884562E-2,1.803978588E-1,1.831771054E-1
1.829135833E-1,2.839758754E-2,1.066064358E-2,1.868716036E-1,1.893173751E-1
1.929945833E-1,1.397718430E-2,3.701404452E-2,1.928294778E-1,1.968466629E-1
2.030755833E-1,-2.851102352E-3,5.109297037E-2,1.768503530E-1,1.841050455E-1
2.131565833E-1,-6.354753971E-3,5.785001278E-2,1.763338977E-1,1.856896614E-1
2.232375833E-1,-2.070849895E-2,7.698794961E-2,1.812383960E-1,1.979983397E-1
2.333185833E-1,-2.489335120E-2,9.714271724E-2,2.073245792E-1,2.303038593E-1
2.433985833E-1,-2.542369366E-3,8.734453797E-2,2.252528733E-1,2.416079239E-1
2.534795833E-1,9.593526721E-3,8.613650322E-2,2.204913394E-1,2.369134097E-1
2.635605833E-1,3.014239669E-3,9.275964439E-2,2.360601358E-1,2.536490193E-1
2.736415833E-1,-2.236559987E-3,8.367424071E-2,2.455438811E-1,2.594189243E-1
2.837225833E-1,-3.370919824E-2,6.031636834E-2,2.780427057E-1,2.864997740E-1
2.938035833E-1,-6.600570917E-2,3.371504545E-2,3.607829998E-1,3.683175680E-1
3.038845833E-1,-9.462198257E-2,3.844251931E-2,4.113614152E-1,4.238506350E-1
3.139655833E-1,-5.320030689E-2,4.875642300E-2,4.498146057E-1,4.555662860E-1
3.240465833E-1,-7.497299910E-2,1.243948352E-1,4.756065278E-1,4.972892467E-1
3.341275833E-1,-8.626748085E-2,6.804931104E-2,4.000909071E-1,4.149042310E-1
3.442085833E-1,-1.048861849E-1,-3.084172368E-2,2.962784171E-1,3.158056747E-1
3.542895833E-1,-1.205994076E-1,-1.199912971E-1,3.574467248E-1,3.958665047E-1
3.643705833E-1,-4.428096414E-2,-1.411365831E-1,3.130030619E-1,3.461954009E-1
3.744515833E-1,5.178837973E-1,-1.100686891E0,-2.935011359E-1,1.251342550E0
3.845315833E-1,1.401947136E0,-2.615732042E0,-5.508955689E-1,3.018442614E0
3.946125833E-1,2.342638419E0,-4.398736374E0,-6.178973512E-1,5.021815766E0
4.046935833E-1,1.527558777E0,-8.035139084E0,-8.837113363E-1,8.226654341E0
4.147745833E-1,1.358090095E0,-6.983441336E0,-1.395696755E-1,7.115640610E0
4.248555833E-1,2.023756421E0,-2.164301265E0,4.919135351E-1,3.003625966E0
4.349365833E-1,2.713522630E0,2.621251813E0,-3.344722836E-1,3.787616380E0
4.450175833E-1,1.767923194E0,7.313302066E0,-1.422629322E0,7.657271950E0
4.550985833E-1,-4.647150654E-1,5.683900580E0,1.034965357E0,5.796019254E0
4.651795833E-1,-2.375637181E0,1.900447998E0,7.536802237E-1,3.134228531E0
4.752605833E-1,-3.739697868E0,4.636602277E-1,-4.147073382E-1,3.791082052E0
4.853415833E-1,-5.032468717E0,-5.943753183E-1,-2.400931066E-1,5.073131981E0
4.954225833E-1,-6.183534048E0,-1.075332195E-1,-4.098811926E-1,6.198036730E0
5.055035833E-1,-5.841928600E0,1.047632180E0,3.848263121E-1,5.947583900E0
5.155835833E-1,-4.827673497E0,2.073872321E0,1.614030179E0,5.496587233E0
5.256645833E-1,-3.935846810E0,1.248999762E0,7.007332474E-1,4.188307247E0
5.357455833E-1,-1.998497618E0,3.781464529E-1,2.243077294E0,3.027933820E0
5.458265833E-1,2.543486184E-1,1.201115744E0,3.940853781E0,4.127674983E0
5.559075833E-1,1.205021684E0,1.565943409E0,2.011924434E0,2.819946089E0
5.659885833E-1,1.848346968E0,1.350392236E0,-1.014041680E-1,2.291337711E0
5.760695833E-1,2.368617014E0,8.312559646E-1,6.078945194E-1,2.582802506E0
5.861505833E-1,2.417026697E0,7.830561966E-1,1.385422174E0,2.893888329E0
5.962315833E-1,3.112121474E0,1.210339726E0,1.613224141E0,3.708465242E0
6.063125833E-1,3.518906420E0,1.414871237E0,1.814469954E0,4.204386308E0
6.163935833E-1,3.469869331E0,1.653768588E0,1.043002939E0,3.982812931E0
6.264745833E-1,4.776873472E0,1.836512203E0,1.555041860E0,5.348780461E0
6.365552083E-1,6.412447278E0,1.765608281E0,1.676190759E0,6.859042802E0
6.466352083E-1,6.661926336E0,-3.995285511E-1,1.765926224E0,6.903577405E0
6.567162083E-1,4.247807459E0,-1.699880315E0,3.356978307E0,5.674747981E0
6.667972083E-1,-1.402741773E0,-2.119467739E0,5.147579927E0,5.740854212E0
6.768782083E-1,-8.266688824E0,-2.878364995E0,-4.162435479E-1,8.763354829E0
6.869592083E-1,-1.093807759E1,-5.517037418E0,2.778506831E0,1.256182086E1
6.970402083E-1,-5.407144847E0,-5.056394938E0,2.090981274E0,7.692629450E0
7.071212083E-1,-6.713065499E-1,-1.800409155E0,-5.922937095E-1,2.010705709E0
7.172022083E-1,-1.993806982E-1,1.223507656E0,-1.497309230E0,1.943877202E0
7.272832083E-1,-3.793884015E-1,-1.205831523E0,-2.648695720E0,2.934885728E0
7.373642083E-1,4.057256641E0,-1.935491531E0,-1.694620745E0,4.804081430E0
7.474452083E-1,4.168341460E0,7.821545559E-1,1.251728657E0,4.421952160E0
7.575252083E-1,2.638330361E0,1.476410843E0,1.380367987E0,3.323551090E0
7.676062083E-1,4.424231404E-1,1.065390174E0,5.791326503E-1,1.290809469E0
7.776872083E-1,-1.986340088E0,3.996624523E-1,3.929761612E-1,2.063905832E0
7.877682083E-1,-2.942931705E0,-3.577227134E-1,-4.203067050E-1,2.994239517E0
7.978492083E-1,-3.719838384E0,3.314769012E-1,-6.013610599E-1,3.782685510E0
8.079302083E-1,-4.202235430E0,4.946820456E-1,6.002809330E-1,4.273620261E0
8.180112083E-1,-4.338550399E0,8.177190757E-1,6.386486080E-1,4.460891850E0
8.280922083E-1,-5.030001776E0,1.534142157E0,2.400950070E-1,5.264233623E0
8.381732083E-1,-4.662174489E0,8.763947153E-1,2.005787927E-1,4.748070189E0
8.482542083E-1,-4.151036040E0,8.634945881E-1,-1.035237837E-1,4.241160252E0
8.583352083E-1,-2.562449289E0,3.931925082E-1,2.242816508E-2,2.592537315E0
8.684162083E-1,-6.512698960E-1,-4.223671907E-1,-2.178059325E-1,8.062170586E-1
8.784962083E-1,4.175672114E-1,-6.983391050E-1,7.412391760E-1,1.100670431E0
8.885772083E-1,7.265323323E-1,-2.927136621E-1,5.629850527E-1,9.646153054E-1
8.986582083E-1,1.337582155E0,1.444159940E-1,1.429983366E-1,1.352934044E0
9.087392083E-1,2.146974211E0,-1.416832978E-1,-1.177646774E-1,2.154864483E0
9.188202083E-1,3.301732644E0,-9.225269079E-1,-5.887853801E-1,3.478385053E0
9.289012083E-1,4.266137896E0,-1.841136474E0,-7.296880746E-1,4.703420111E0
9.389822083E-1,5.116026598E0,-3.117938869E0,-3.105339289E-1,5.999308482E0
9.490632083E-1,4.713873816E0,-4.433485500E0,-1.057475383E0,6.557030900E0
9.591442083E-1,4.011338457E0,-5.067263158E0,-1.638055365E0,6.667174627E0
9.692252083E-1,2.939481847E0,-3.617448961E0,-7.632218564E-1,4.723240214E0
9.793062083E-1,1.582250708E0,-1.778689672E0,-9.011260986E-2,2.382304459E0
9.893862083E-1,4.681918198E-1,-2.595695972E-2,7.510399500E-2,4.748873066E-1
9.994672083E-1,1.477509534E-1,9.216264367E-2,-2.684688767E-2,1.761960627E-1
1.009548208E0,-3.032196468E-1,7.416748667E-1,-1.784008702E-1,8.208840555E-1
1.019629208E0,-9.228490895E-1,7.546714729E-1,-3.658812968E-1,1.247015877E0
1.029710208E0,9.431208014E-2,8.134968013E-2,-4.467986119E-1,4.638335245E-1
1.039791208E0,3.857893485E-1,-1.492000397E0,4.388557907E-1,1.602339855E0
1.049872208E0,7.484260619E-1,-2.111409692E0,-1.426716965E-2,2.240177673E0
1.059953208E0,1.138459904E0,-2.899283409E0,-5.982883481E-1,3.171732048E0
1.070034208E0,9.170539141E-1,-2.087921134E0,-1.196268986E0,2.575162525E0
1.080115208E0,1.018628236E0,-1.361870027E0,-5.377391875E-1,1.783663895E0
1.090196208E0,1.176442248E0,-1.359092308E0,-7.821399379E-1,1.960329346E0
1.100277208E0,1.272213793E0,-1.261762187E0,-2.857218174E-1,1.814444463E0
1.110357208E0,1.300226634E0,-1.746624126E0,3.722224195E-2,2.177767351E0
1.120438208E0,1.230225522E0,-2.476622688E0,1.305555347E-1,2.768421847E0
1.130519208E0,1.036727707E0,-2.667228470E0,9.604660551E-1,3.018510741E0
1.140600208E0,3.116109860E-1,-3.346476123E0,1.600126816E0,3.722419869E0
1.150681208E0,1.344959003E-1,-3.284034292E0,1.378488107E0,3.564154856E0
1.160762208E0,6.010557622E-1,-2.808537546E0,1.394688402E0,3.192852473E0
1.170843208E0,1.090830824E0,-3.018619233E0,1.248638989E0,3.443990895E0
1.180924208E0,1.273866216E0,-2.782786408E0,8.626082233E-1,3.179737139E0
1.191005208E0,1.673837401E0,-2.382122912E0,9.030896667E-1,3.048247392E0
1.201086208E0,1.910544385E0,-2.530132313E0,4.339183652E-1,3.200005393E0
1.211167208E0,1.094174262E0,-3.317979718E0,1.288086644E0,3.723623763E0
1.221247208E0,-5.639013845E-1,-3.362596312E0,3.187630663E0,4.667550532E0
1.231328208E0,-8.396876496E-1,-1.933449683E0,3.046099977E0,3.704325593E0
1.241409208E0,1.427156821E0,-1.431529369E0,-4.259696603E-2,2.021847529E0
1.251490208E0,2.503228104E0,-1.323914874E0,-7.048735877E-1,2.918175510E0
1.261571208E0,2.566216065E0,-1.755377408E0,7.045894130E-1,3.187986979E0
1.271652208E0,2.763009371E0,-3.140114434E0,1.557174339E0,4.463107815E0
1.281733208E0,2.061968560E0,-2.445365227E0,1.515805289E0,3.539659745E0
1.291814208E0,9.729339999E-1,-1.387524394E0,1.168580155E0,2.058495589E0
1.301895208E0,8.972961724E-2,-9.784683895E-1,1.608787712E0,1.885112648E0
1.311976208E0,-5.732306170E-1,-3.941660696E-1,1.668536900E0,1.807754303E0
1.322056208E0,-1.094362543E0,1.468557447E0,1.128562907E0,2.151265810E0
1.332137208E0,-1.191812823E0,2.658362921E0,5.356447148E-1,2.962132085E0
1.342218208E0,-5.837216914E-1,3.145608478E0,1.210934973E-1,3.201600747E0
1.352299208E0,8.485508591E-1,4.552561415E0,6.260379180E-1,4.673090784E0
1.362380208E0,2.919318894E0,7.030019086E0,3.903601170E-1,7.622071383E0
1.372461208E0,4.532564523E0,9.325951701E0,1.881093860E-1,1.037077150E1
1.382542208E0,4.418316361E0,8.038722258E0,-6.748973250E-2,9.173174471E0
1.392623208E0,2.358653943E0,4.219032142E0,-5.053513869E-1,4.859923935E0
1.402704208E0,1.689856433E0,4.636439724E0,-8.034658297E-1,4.999774537E0
1.412785208E0,1.729900505E0,4.421006665E0,-1.300903741E0,4.922418738E0
1.422865208E0,1.752823929E0,-2.892804694E-1,4.866637588E-2,1.777200983E0
1.432946208E0,1.633749475E0,-6.262496018E0,9.358363402E-1,6.539402372E0
1.443027208E0,1.940473943E0,-5.695818375E0,-3.510808611E-1,6.027523858E0
1.453108208E0,1.252337937E0,-4.358216339E0,-1.665574701E0,4.830790728E0
1.463189208E0,-4.071384099E-1,-2.936520233E0,-2.422634761E0,3.828586155E0
1.473270208E0,-1.675150394E0,-1.622906399E0,-2.229137532E0,3.226299452E0
1.483351208E0,-3.219719305E0,-5.560930127E-1,-1.384312518E0,3.548542376E0
1.493432208E0,-4.861582377E0,-5.476993346E-1,-5.444629008E-1,4.922539753E0
