"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.325516668E-2,-5.321258605E-2,1.733465552E-2,1.211964083E-1,1.334939661E-1
2.333616666E-2,-6.245586455E-2,2.607098043E-2,8.834017262E-2,1.112852961E-1
3.341716668E-2,-7.879181564E-2,1.999689281E-2,8.493723929E-2,1.175685356E-1
4.349716668E-2,-6.033274055E-2,2.682234764E-2,9.608027816E-2,1.165800059E-1
5.357816667E-2,-4.599829137E-2,1.478351533E-2,1.024062346E-1,1.132317624E-1
6.365916668E-2,-4.883594513E-2,-7.646403909E-3,7.445084274E-2,8.936635281E-2
7.374016667E-2,-3.811039746E-2,9.322215915E-3,5.977491617E-2,7.150067627E-2
8.382116669E-2,-4.375179112E-2,3.887813687E-2,7.235929370E-2,9.306769653E-2
9.390116666E-2,-4.819099724E-2,7.215698004E-2,7.078990102E-2,1.119830883E-1
1.039821667E-1,-5.772956014E-2,6.429305971E-2,7.786342397E-2,1.163142830E-1
1.140631667E-1,-4.394650340E-2,6.137354493E-2,9.206835732E-2,1.190570855E-1
1.241441667E-1,-6.026491284E-2,5.914107800E-2,8.607613072E-2,1.205762294E-1
1.342251667E-1,-7.316094697E-2,6.898603499E-2,9.157251343E-2,1.360041264E-1
1.443061667E-1,-8.130144060E-2,6.336042881E-2,9.556148395E-2,1.405576942E-1
1.543861667E-1,-9.661003590E-2,2.921736717E-2,1.047503833E-1,1.454640725E-1
1.644671667E-1,-9.858113229E-2,9.440914392E-3,1.077792411E-1,1.463684915E-1
1.745481667E-1,-5.369088829E-2,-1.245515406E-2,1.112386000E-1,1.241445467E-1
1.846291667E-1,-1.035834253E-2,-2.532487571E-2,1.154355852E-1,1.186339704E-1
1.947101667E-1,2.577628076E-2,-5.034277260E-2,1.077764636E-1,1.217151491E-1
2.047901667E-1,3.689534605E-2,-8.904432356E-2,1.182295310E-1,1.525397657E-1
2.148711667E-1,4.812901676E-2,-9.867117941E-2,1.203585023E-1,1.629066388E-1
2.249521667E-1,6.081396639E-2,-1.102703011E-1,1.331791073E-1,1.832881678E-1
2.350331667E-1,7.075189412E-2,-1.273394930E-1,1.318102741E-1,1.964564211E-1
2.451141667E-1,9.256610155E-2,-1.700697756E-1,1.349537373E-1,2.360184800E-1
2.551951667E-1,9.118031144E-2,-2.059061909E-1,1.372364902E-1,2.637139793E-1
2.652751667E-1,1.198281598E-1,-2.325829428E-1,1.548858722E-1,3.040448101E-1
2.753561667E-1,1.657013208E-1,-2.455286783E-1,1.634570132E-1,3.383185699E-1
2.854371667E-1,2.078340179E-1,-2.924163312E-1,1.506640363E-1,3.891040241E-1
2.955181667E-1,1.932124704E-1,-3.605282074E-1,1.740644471E-1,4.445335520E-1
3.055991667E-1,1.707837206E-1,-5.731054866E-1,1.887913907E-1,6.271037930E-1
3.156791667E-1,2.089888430E-1,-6.815456092E-1,3.584869444E-1,7.979308512E-1
3.257601667E-1,1.480655336E-1,-8.974236417E-1,2.021826839E-1,9.317566381E-1
3.358411667E-1,1.131775367E-1,-9.796846104E-1,2.639554475E-1,1.020913105E0
3.459221667E-1,1.762660700E-1,-1.015084239E0,1.410605693E-1,1.039886447E0
3.560031667E-1,1.855303985E-1,-1.264073884E0,2.809360541E-1,1.308139663E0
3.660841667E-1,2.449392790E-1,-1.707345455E0,2.545287126E-1,1.743504694E0
3.761641667E-1,2.768013418E-1,-2.208482827E0,2.542604716E-1,2.240237435E0
3.862451667E-1,1.508236653E-1,-2.707321073E0,5.242888373E-1,2.761741110E0
3.963261667E-1,-1.730927861E-1,-3.177877507E0,5.585334943E-1,3.231226737E0
4.064071667E-1,-1.632899290E-1,-2.651444496E0,5.235743076E-1,2.707573004E0
4.164881667E-1,-1.779395431E-1,-1.955801250E0,4.385095990E-1,2.012240462E0
4.265681667E-1,-4.191558999E-1,-2.031243196E0,2.314007820E-1,2.086908457E0
4.366491667E-1,-4.992481363E-1,-2.124432026E0,-2.168496935E-1,2.193053561E0
4.467301667E-1,-1.254496729E-1,-2.165918021E0,-1.473328775E-1,2.174544888E0
4.568111667E-1,-8.899403751E-2,-8.598856866E-1,-1.036511945E0,1.349696390E0
4.668921667E-1,-7.173720843E-1,3.574601734E-1,1.290503883E-1,8.118217080E-1
4.769721667E-1,-8.535177764E-1,1.140241551E0,6.371959403E-2,1.425729138E0
4.870531667E-1,-4.881989452E-1,6.643553799E-1,-1.179630442E-1,8.328394568E-1
4.971341667E-1,-7.845238477E-2,5.033090276E-1,5.475902840E-2,5.123214861E-1
5.072151667E-1,-7.929654729E-1,1.581180083E0,1.405363664E-2,1.768932503E0
5.172961667E-1,-1.233355829E0,2.856174812E0,3.117050531E-1,3.126669345E0
5.273771667E-1,-6.850472143E-1,4.733097122E0,7.956306338E-1,4.848146673E0
5.374571667E-1,1.881388414E-1,5.033550451E0,1.098954946E0,5.155553156E0
5.475381667E-1,2.391268542E-1,4.599697575E0,9.026038362E-1,4.693516072E0
5.576191667E-1,-2.690435484E-1,3.643248630E0,6.459379663E-1,3.709835693E0
5.677001667E-1,-5.797087473E-1,2.247558600E0,7.679559083E-1,2.444859540E0
5.777811667E-1,-7.604809740E-1,1.422881922E0,8.028197855E-1,1.802066559E0
5.878611667E-1,-8.400425756E-1,5.884994513E-1,1.020265456E0,1.446701329E0
5.979421667E-1,-7.597132346E-1,-1.897760618E-1,9.775094461E-1,1.252479090E0
6.080231667E-1,-8.219416425E-1,-6.833459669E-1,1.794701103E0,2.088899668E0
6.181041667E-1,-1.574127464E0,1.533607721E-1,1.001899352E0,1.872217699E0
6.281851667E-1,-1.024954339E0,-1.169427343E0,-1.943635533E0,2.489138564E0
6.382651667E-1,2.188861325E-1,-2.688935673E0,-1.230507942E0,2.965204207E0
6.483461667E-1,1.324300790E0,-2.020483149E0,-2.900137103E-1,2.433152829E0
6.584271667E-1,1.151499780E0,-5.272218007E-1,3.903817517E-1,1.325259402E0
6.685081667E-1,6.472782943E-1,-2.880923152E-2,-1.264787098E-1,6.601484879E-1
6.785891667E-1,5.544093069E-1,9.409573317E-2,-4.084104717E-1,6.949984173E-1
6.886691667E-1,4.909047443E-1,2.525108385E-1,-1.508095589E-1,5.722697918E-1
6.987501667E-1,5.218309602E-1,2.320666337E-1,-3.229363849E-1,6.560871758E-1
7.088311667E-1,1.903499660E-1,1.996666270E-1,-1.910729742E-1,3.355722768E-1
7.189121667E-1,2.323668882E-1,2.093478620E-1,5.374596906E-1,6.218390604E-1
7.289931667E-1,9.453234476E-1,-1.046441102E-1,5.203301992E-1,1.084126527E0
7.390731667E-1,1.517289604E0,-5.100175381E-1,6.545601974E-1,1.729374073E0
7.491541667E-1,1.281230784E0,-5.317148012E-1,6.258964884E-1,1.521847353E0
7.592351667E-1,8.237861466E-1,-5.435489810E-1,2.600525042E-1,1.020635300E0
7.693161667E-1,6.896112585E-1,-7.109629512E-1,5.920357011E-2,9.922384131E-1
7.793971667E-1,8.181517696E-1,-7.678961205E-1,-3.260692500E-2,1.122541751E0
7.894771667E-1,1.059221946E0,-6.855573839E-1,-1.235996870E-1,1.267760600E0
7.995581667E-1,1.272645902E0,-5.313493502E-1,-1.750837630E-1,1.390184897E0
8.096391667E-1,1.281695053E0,-4.131706899E-1,-1.599254411E-1,1.356107803E0
8.197201667E-1,1.156746486E0,-3.665186799E-1,-1.385000736E-1,1.221302848E0
8.298011667E-1,1.014165641E0,-3.462610012E-1,-9.253690202E-2,1.075635490E0
8.398821667E-1,8.687950891E-1,-4.019761956E-1,-3.774845481E-2,9.580264686E-1
8.499621667E-1,7.355402604E-1,-5.211898130E-1,-1.731411718E-2,9.016418771E-1
8.600431667E-1,6.891800264E-1,-5.721646696E-1,-7.197264656E-3,8.957640976E-1
8.701241667E-1,6.547861192E-1,-6.089366394E-1,2.262510661E-2,8.944610602E-1
8.802051667E-1,6.237891519E-1,-5.965469742E-1,1.142078161E-1,8.706460956E-1
