"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.439041651E-3,2.398130250E-1,4.651518524E-2,2.006691322E-3,2.442907616E-1
1.251904166E-2,3.452897787E-1,1.517937183E-2,2.404612619E-2,3.464587433E-1
2.259904167E-2,3.540091467E-1,-6.107182860E-2,-1.577542238E-3,3.592418862E-1
3.267904167E-2,2.584615499E-1,-1.415026188E-3,6.169514179E-2,2.657266746E-1
4.275904165E-2,1.525620425E-1,-2.335670292E-2,6.216050707E-2,1.663870218E-1
5.283804165E-2,2.231595701E-1,5.340846777E-3,-1.054778866E-1,2.468892524E-1
6.291804166E-2,2.364578927E-1,1.496998304E-1,-6.599982541E-2,2.875384343E-1
7.299804167E-2,2.233057505E-1,1.525263745E-1,-7.789653383E-2,2.814207226E-1
8.307804167E-2,2.482429558E-1,1.788458616E-1,-7.893032156E-2,3.159753202E-1
9.315804165E-2,2.442843908E-1,1.743639708E-1,-1.465369984E-1,3.339921403E-1
1.032370417E-1,2.618178517E-1,1.448782164E-1,-9.700406514E-2,3.145601273E-1
1.133170417E-1,2.935612160E-1,6.554962635E-2,-6.801949024E-2,3.083854603E-1
1.233970417E-1,2.152284068E-1,-5.319621384E-2,-9.139545243E-2,2.398045725E-1
1.334770417E-1,2.015587860E-1,7.197805524E-2,-7.095596194E-2,2.254806715E-1
1.435570417E-1,2.313667220E-1,8.401337922E-2,-1.307787887E-1,2.787326668E-1
1.536360417E-1,1.609159595E-1,9.622762799E-2,-1.477251526E-1,2.386973463E-1
1.637160417E-1,2.326408303E-1,7.668623328E-2,-1.749638585E-1,3.010230657E-1
1.737960417E-1,2.470366752E-1,3.118495524E-2,-1.668724815E-1,2.997432992E-1
1.838760417E-1,1.515563214E-1,1.161140084E-2,-1.392666070E-1,2.061536587E-1
1.939560417E-1,1.742745084E-1,3.369341075E-2,-1.421949657E-1,2.274340750E-1
2.040360417E-1,2.048729879E-1,1.035921961E-1,-1.287464428E-1,2.632108105E-1
2.141150417E-1,1.874617338E-1,8.835259795E-2,-1.605236479E-1,2.621372250E-1
2.241950417E-1,1.681454569E-1,2.899400353E-2,-1.382293840E-1,2.195925990E-1
2.342750417E-1,1.985737824E-1,1.070946783E-1,-1.929324253E-1,2.968564265E-1
2.443550417E-1,2.699606842E-1,8.686331213E-2,-2.514268013E-1,3.789979451E-1
2.544340416E-1,2.550865370E-1,1.073841155E-1,-1.995268786E-1,3.411912439E-1
2.645140417E-1,3.148006421E-1,1.386491776E-2,-1.660176551E-1,3.561650489E-1
2.745940417E-1,2.401398844E-1,-1.606458181E-1,-2.104483445E-1,3.574391538E-1
2.846740417E-1,2.096413922E-1,-1.250988400E-1,-2.192203375E-1,3.281109408E-1
2.947540416E-1,2.431576324E-1,1.400291204E-2,-2.514279707E-1,3.500539104E-1
3.048330416E-1,1.963775682E-1,1.262706220E-1,-1.256262589E-1,2.651233226E-1
3.149130417E-1,2.717218655E-1,1.248994499E-1,-1.322803903E-1,3.270026704E-1
3.249930417E-1,3.276066291E-1,1.320558572E-1,-7.712711334E-2,3.615431433E-1
3.350730417E-1,3.863769937E-1,2.085643351E-1,-4.639177244E-2,4.415183571E-1
3.451530416E-1,4.913666743E-1,2.389692718E-1,1.093336137E-1,5.572264895E-1
3.552320417E-1,5.795847863E-1,1.317623270E-1,2.955182791E-1,6.637852729E-1
3.653120417E-1,5.643060118E-1,7.755746841E-3,5.249396690E-1,7.707548784E-1
